"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP5IF1",269.180137426135,-0.852952823506784,0.165045314742916,-5.16799174114935,2.36622763371867e-07,1.18680178645266e-06
"SESN2",417.630512337265,0.503057474408961,0.120277480918383,4.18247431329495,2.88353605022601e-05,0.000109814461456304
"RCC1",1091.91742080256,-0.252550785469592,0.0831204200039662,-3.03837234529784,0.00237859856657759,0.00653525305203457
"TRNAU1AP",266.574175039366,0.697840841314594,0.121701051331018,5.73405762466684,9.80559923680707e-09,5.73164787046708e-08
"GMEB1",348.967125261044,0.320718759856158,0.10831028542347,2.96111083635518,0.00306531605448591,0.00825217517446826
"YTHDF2",1376.3801262161,-0.383393030139551,0.0725164713540757,-5.28697857163458,1.24353200150742e-07,6.42521264591083e-07
"TMEM200B",59.0305996411931,-1.02339072793077,0.252613068551401,-4.05121846545536,5.09516067417844e-05,0.000186171716361252
"MECR",180.150969082404,-0.77054454600066,0.145810711858061,-5.28455376276294,1.26011539191198e-07,6.50488097325861e-07
"PTPRU",753.49247641677,0.462095017884583,0.0848925877101299,5.44329051980875,5.23052358570353e-08,2.83166088837233e-07
"PUM1",2142.82758790019,0.216280378919822,0.0677815238848764,3.1908456246449,0.00141857055491697,0.00407590241871153
"SNRNP40",716.600924345939,-0.586597220069018,0.0889953633413884,-6.59132339084698,4.35923171485443e-11,3.18563320086747e-10
"TINAGL1",580.027651954896,0.584815743961084,0.0889519880255653,6.57451010305699,4.88136157098411e-11,3.54277152117216e-10
"PEF1",327.968202113728,-0.290891269598357,0.123740862994149,-2.35081009263781,0.0187325917521164,0.0421395625970403
"ADGRB2",125.557043354298,-0.447766896971909,0.1840642183311,-2.43266671291024,0.0149880899286866,0.0345132083573806
"TMEM39B",163.801412667594,0.459583191218994,0.151310674274541,3.03734811454953,0.00238669649872884,0.00655550336893652
"KPNA6",2120.28752857089,-0.572992420850312,0.0648650120526887,-8.83361311002117,1.01347753862416e-18,1.30736426081217e-17
"TXLNA",874.383654647802,-0.495330724416761,0.083359265654407,-5.94211957756821,2.81360049376457e-09,1.73702961624294e-08
